nama produk,text,label,label_id,gold_label,group_key
delfi chic choc,"Biskuit 39% (mengandung Tepung Terigu, Susu), Gula, Oadatan Kakao 21% (Kakao Massa), Lemak Kakao), Padatan susu 10% (Whey Bubuk, Susu Bubuk Full Cream), Lemak Nabati (mengandung Antioksidan Tokoferol Campuran Pekat), Pengemulsi Nabati (lesitin Kedelai), Penstabil Nabati, Pelapis Perisa Sintetik. 
Mengandung alergen, lihat daftar bahan yang dicetak tebal.
Diproduksi menggunakan peralatan yang juga memproses kacang-kacangan, kedelai, gandum, dan wijen.",unsafe,1,unsafe,delfi chic choc
delfiorion custas,"TELUR, TEPUNG TERIGU, GULA, MINYAK SAYUR, LEMAK NABATI, SIRUP ISOMALTO OLIGOSAKARIDA, SIRUP MALTOSA, SIRUP FRUKTOSA, SUSU BUBUK (l .132%), BUBUK KUNING TELUR, MALTODEKSTRIN, PENGEMULSI NABATI (MONO DAN DIGLISERIDA ASAM LEMAK,
LESITIN KEDELAI, ESTER POLIGLISEROL ASAM RISINOLEAT TERINTERESTERIFIKASI), PENSTABIL (KALSIUM KARBONAT, GOM XANTHAN, HIDROKSIPROPIL
DIPATI FOSTFAT), GARAM, PERISA SINTETIK (VANILLA DAN CUSTARD), PENGAWET (KALIUM SORBAT DAN NATRIUM PROPIONAT), PENGEMBANG
(GLUKONO DELTA LAKTON DAN NATRIUM HIDROGEN KARBONAT), PENGATUR KEASAMAN ASAM TARTRAT, PEWARNA BETA-KAROTEN CI.NO.75130.
MENGANDUNG SUSU, GANDUM, TELUR DAN BAHAN KEDELAI",unsafe,1,unsafe,delfiorion custas
enaak,"Tepung Terigu, Tepung Tapioka, Minyak Nabati, Bumbu Rasa Cabai Pedas (Mengandung Cubuk
abai 6.55%), Penguat Rasa Mononatrium Glutamat, Gula, Garam, Pengatur Keasaman (Kalium Karbonat, Natrium Karbonat), Penstabil (Fosfat, Gom Guar), Pemanis Buatan Sukralosa.",unsafe,1,unsafe,enaak
ferrero rocher,"COKEIAT SUSU 30.3% (GULA, LEMAK KAKAO, KAKAO MASSA, SUSU SKIM BUBUK, LEMAK SUSU ANHIDRAT, PENGEMULSI: LESITIN (KEDELAI), PERISA: SINTETIK VANILA), KACANG HAZEL 28.8 %, GULA, MINYAK NABATI, TEPUNG TERIGU, BUBUK WHEY, KAKAO BUBUK, PENGEMULSI: LESITIN (KEDELAI), PENGEMBANG (NATRIUM BIKARBONAT),
GARAM, PERISA: SINTETIK VANILA.",unsafe,1,unsafe,ferrero rocher
fiesta spicy karage,"Daging Ayam (56.5%), Tepung Breader (mengandung Gluten,Tetur,
Susu), Minyak Nabati, Air, Tepung Batter (mengandung Gluten),
Bumbu Pedas, Gula, Minyak Cabai, Penguat Rasa Mononatrium
Glutamat, Bawang Putih Bubuk (mengandung Kacang Tanah),
Ketumbar Bubuk, Cabe Bubuk (0.01 %), Pala Bubuk, Lada Putih Bubuk.
Mengandung Alergen, lihat daftar bahan yang dicetak tebal.
Dapat mengandung Ikan dan Kedelai.",unsafe,1,unsafe,fiesta spicy karage
fiesta spicy wing,"Sayap Ayam (85.88%), Air, Gula, Bumbu Rasa Ayam Panggang (mengandung Gluten, Telur, Kedelai, Susu, Penguat Rasa Mononatrium Glutamat dan Dinatrium Ribonukleotida), Bumbu Asin, Penguat Rasa (Mononatrium Glutamat dan Dinatrium Ribonukleotida), Bumbu Rasa Ayam (mengandung Kedelai, Penguat Rasa Mononatrium Glutamat dan Dinatrium Ribonukleotida), Bumbu Rasa Bawang Putih, Bumbu Rasa Bawang Bombay, Penstabil Natrium Tripolifosfat, Cabe Bubuk, Paprika
Bubuk, Lada Hitam Bubuk, Garam, Ketumbar Bubuk, Bumbu Rasa Seledri
(mengandung Susu), Jintan Bubuk, Pala Bubuk.
Mengandung Alergen, lihat daftar bahan yang dicetak tebaL
Dapat mengandung Ikan dan Kacang Tanah.",unsafe,1,unsafe,fiesta spicy wing
fitbar,"Cokelat Compound Putih Rasa Tiramisu (31,7%) (mengandung Bubuk Kopi 0,2%), Krispi Beras Cokelat (29,8%),  Oat (9,8%), Sirup Glukosa, Puff Kedelai, Sirup Fruktosa, Pemanis Alami Maltitol, Keping Jagung (2.9%) (mengandung Antioksidan
Tokoferol Campuran), Minyak Nabati, Pemanis Alami Isomalt. Humektan Nabati, Inulin, Perisa Sintetik, Pengemulsi Nabati, Antioksidan Askorbil Palmitat dan Tokoferol
Campuran, Kalsium Karbonat dan 3 Vitamin (mengandung Antioksidan dl-a-Tokoferol).
Mengandung alergen, lihat komposisi yang dicetak tebal.",unsafe,1,unsafe,fitbar
folabee,"Tepung Terigu, Gula, Lemak Reroti (Mengandung Antioksidan
Tokoferol), Pati Tapioka, Lemak Susu Anhidrat, Susu Bubuk, Whey
Bubuk, Garam, Pengembang (Amonium Bikarbonat dan Natrium
Bikarbonat), Minyak Ikan (Mengandung Antioksidan Askorbil
Palmitat, Natrium Askorbat, Tokoferol), Premiks Vitamin dan Mineral.
Informasi Alergen:
Mengandung alergen, lihat daftar bahan yang dicetak tebal. Diproduksi
menggunakan peralatan yang juga memproses: Kacang Tanah, Kedelai,
Gandum, Telur, Susu, Wijen dan Produk Kacang-kacangan.",unsafe,1,unsafe,folabee
french fries 2000,"Pati Kentang (72.23%), Minyak Nabati, Bumbu Original (Mengandung Penguat Rasa Mononatrium Glutamat), Garam.
Saus Sambal: Air, Gula, Cabe (8.19%), Bawang Putih, Garam, Pati Modifikasi, Penguat Rasa Mononatrium Glutamat, Pengawet Natrium Benzoat, Pewarna Makanan (Tartrazin CI. 19140, Kuning FCF CI. 15985).",unsafe,1,unsafe,french fries 2000
fuzo kuaci,"Biji Bunga Matahari (94.7%), Garam, Gula, Perisa Sintetik Rempah - Rempah.
Diproduksi dengan peralatan yang juga memproses produk yang mengandung susu.",unsafe,1,unsafe,fuzo kuaci
