text,label,label_id,synthetic_rule
"Bumbu (mengandung penguat rasa (Mononatrium Glutamat, 78%), udang, (tree nuts), bumbu (bawang bombay.",unsafe,1,KB_UNSAFE
"Singkong ungu premium, Bubuk porang berkualitas (48%), Antioksidan Askorbil Palmitat, Pengembang [Natrium Bikarbonat (E500(ii), lihat daftar bahan yang di cetak tebal, ikan, Campuran Bumbu Pedas Level 15 (Bubuk cabai.",unsafe,1,KB_UNSAFE
"Aditif makanan bersumber dari tumbuhan dan sintetis, penstabil (nabati, minyak sawit premium (dengan kandungan antioksidan tokoferol), Kakao Bubuk 0, tepung terigu.",unsafe,1,KB_UNSAFE
"38%, (Riboflavin), lesitin kedelai, sirup agave, Minyak Triglsenda, Perisa sintetik rumput laut, Pengemulsi (Dinatrium Difosfat).",unsafe,1,KB_UNSAFE
"Perisa Sintetik Lemon, PENGEMBANG: NATRIUM BIKARBONAT, garam murni (0, PENGEMBANG (NATRIUM HIDROGEN KARBONAT (500(ii)), lihat daftar, Ragi, 9%) (mengandung Antioksidan.",safe,0,KB_SAFE
"perisa ayam sintetik, Penguat Rasa (Mononatrium Glutamat dan Dinatrium Ribonukleotida), Pengental Nabati, crustacea, BUBUK SARI BUAH YUZU (0.",unsafe,1,KB_UNSAFE
"Lemak Reroti (mengandung Antioksidan Askorbil Palmitat & Tokoferol) (19%), tepung beras putih murni, gandum, Dinatrium 5'-Guanylat).",unsafe,1,KB_UNSAFE
"KECAP MANIS : Gula, Minyak Nabati (Kelapa Sawit, bahan pengental alami, 57%), salmon.",unsafe,1,KB_UNSAFE
"minyak zaitun (4%), gula pasir berkualitas, terigu, ekstrak buah asam (0.",unsafe,1,KB_UNSAFE
"Pengembang (mengandung Antioksidan Asam Askorbat), 150c), disarankan tidak dikonsunsi oleh anak di bawah 5 (lima) tahun, Pewama Alami Karamel Kelas IV.",safe,0,KB_SAFE
"Pewama Alami Karmin CI, Polong, Perisa Sintetik Daging Sapi BBQ, biji wijen, LIHAT DAFTAR BAHAN YANG DICETAK TEBAL, 4%).",unsafe,1,KB_UNSAFE
"Dektrosa Monohidrat, bawang putih tumbuk, Tidak mengandung pemanis artifisial, minyak nabati sawit, KACANG HAZEL (10, Penstabil Kalium Fosfat.",safe,0,KB_SAFE
"03%), Teh hijau sencha, pati (kentang, perisa alami paprika, ibu, lesitin kedelai, bubuk coklat premium.",unsafe,1,KB_UNSAFE
"tepung terigu, Ekstrak Rempah, minyak sawit berkualitas, Beras berkualitas (85.",unsafe,1,KB_UNSAFE
"Kecap Inggris (Mengandung alkohol 0, Ekstrak, Biji Bunga Matahari, Margarin (Mengandung Antioksidan Alfatokoferol, tepung gandum, sari ragi), Gula (19%).",unsafe,1,KB_UNSAFE
"telur bubuk, Kakao bubuk (6, kaldu dari sayuran, 03% (MENGANDUNG JALAPENO BUBUK 10%), Pemanis Alami Isomalt, perisa sintetik (stroberi, Minyak Sawit.",unsafe,1,KB_UNSAFE
"75810), Bebas pengawet dan pemanis buatan, Kacang polong (62, Tenggiri segar giling, Tepung porang terbaik (48%).",safe,0,KB_SAFE
"telur, Pewarna Sintetik (Tartrazin CI No, DAN EKSTRAK RAGI, minyak goreng sawit, Minyak bumbu: Minyak tumbuhan.",unsafe,1,KB_UNSAFE
"Bawang Merah, Pengatur Keasaman Asam Sitrat, tepung dari biji jagung, bubuk cabai merah, udang.",unsafe,1,KB_UNSAFE
"Gelatin Sapi, Asam Folat, Bubuk Lada Putih, Jagung (43%), Daging Sapi 21.",safe,0,KB_SAFE
"krimer (mengandung penstabil kalium fosfat, 43%), susu bubuk, Kentang segar.",unsafe,1,KB_UNSAFE
"Bumbu 0, Bubuk porang (48%), krimer tumbuhan, Pewarna sintetik (Ponceau 4R CI No.",safe,0,KB_SAFE
"Puree Mangga (10%), PENGUAT RASA MONONATRIUM L-GLUTAMAT, Cuka, aroma jeruk mandarin buatan, asam askorbat).",safe,0,KB_SAFE
"hazelnut, 49%), 9%)(Mengandung Cabai (40%), Kacang Hazel, perisa paprika natural, bawang putih halus (0, perisa jeruk mandarin sintetis.",unsafe,1,KB_UNSAFE
"Lobak premium (60%), pewarna makanan alami karamel IV, irisan bawang merah, Penstabil Natrium Tripolifosfat, KAKAO MASSA, lemak reroti (mengandung pengemulsi mono dan digliserida asam lemak dan antioksidan tokoferol), (Mengandung Antioksidan BHA).",safe,0,KB_SAFE
"Pengatur Keasaman Asam Malat, minyak kelapa sawit murni, Keripik singkong terbaik, Daglng Ayam (56%), Minyak bumbu: Minyak tumbuhan, minyak nabati sehat.",safe,0,KB_SAFE
"campuran rasa soto (mengandung hidrolisat protein nabati, pengental pati asetat, Kentang segar pilihan, Penstabil Natrium Karbonat.",safe,0,KB_SAFE
"cuka, garam gurih (5%) (mengandung penyedap MSG, Penstabil (Dipati Adipat Terasetilasi, garam dapur (1%), Kakao Bubuk (1, kacang mede, cabai merah.",unsafe,1,KB_UNSAFE
"bawang putih parut, crustacea, Madu (3%), Pelapis Perisa Sintetik.",unsafe,1,KB_UNSAFE
"saus tomat segar (45%), kepiting, 97%), seledri kering, Kakao Massa 4.",unsafe,1,KB_UNSAFE
"Penstabil Natrium Tripolifosfat, garam spesial (5%) (berisi penguat rasa MSG, Pewama Alami Karmin CI, mengandung Antioksidan Askorbil Patmitat.",safe,0,KB_SAFE
"sari jeruk mandarin (4, Hidrolisat Protein Nabati, Daun Bawang ( 1, minyak dari buah sawit (dengan antioksidan tokoferol).",safe,0,KB_SAFE
"almond, Iihat daftar bahan yang dicetak tebal, 78% (Mengandung cabe merah (28%), Madu, Dinatrium Guanilat), buah campuran: (lidah buaya (10%).",unsafe,1,KB_UNSAFE
"Pati Modifikasi, BUMBU RASA JALAPENO 0, bawang merah segar, Dinatrium 5'-Guanylat), cabai rawit kecil (1%), Rumput laut pilihan (47%), Penguat Rasa (Mononatrium L-glutamate, Alpukat (1.",safe,0,KB_SAFE
"Karagenan, Pala Bubuk, (GLUKONO DELTA LAKTON DAN NATRIUM HIDROGEN KARBONAT), TBHQ), Makaroni.",safe,0,KB_SAFE
"Pengatur Keasaman (Asam Sitrat), Air), LAKTOSA, Inufin.",safe,0,KB_SAFE
"45430, Bumbu Rasa Rumput Laut Panggang, bubuk jagung berkualitas, tuna, B12, pengental (gom biji lokus.",unsafe,1,KB_UNSAFE
"melon), SIRUP ISOMALTO OLIGOSAKARIDA, garam beryodium (0, Tidak mengandung pengawet dan pemanis buatan, NATRIUM KARBOKSIMETIL, tepung gandum.",unsafe,1,KB_UNSAFE
"beras kering, vitamin C, Cokelat (16%), mentega, bawang merah bubuk, Kuning FCF CI.",unsafe,1,KB_UNSAFE
"Rempah-rempah, dan garam laut, Pewarna Alami (Beta-Karoten (sayuran) CI, 75130 (160a(ii).",safe,0,KB_SAFE
"TBHQ), Selongsong Sosis, Penstabil Natrium Karbonat, Minyak bumbu: Minyak tumbuhan.",safe,0,KB_SAFE
"serbuk jagung, tepung tapioka, KAKAO BUBUK (1%), 38%), BAHAN PELENGKAP: Daun bawang kering, Semolina Jagung), Pasta Kacang Hazel, MINYAK NABATI (MENGANDUNG ANTIOKSIDAN (TOKOFEROL CAMPURAN PEKAT (307))).",safe,0,KB_SAFE
"PEMANIS BUATAN ASPARTAM)), bumbu rempah, Ubi kayu berkualitas (63, PENSTABIL (PATI OKSIDASI, Kalsium Karbonat, BUMBU KOYA: KERUPUK, PENGATUR KEASAMAN, 15985).",safe,0,KB_SAFE
"AIR, tepung mocaf (1, PEWARNA ALAMI (BETAKAROTEN (CI, kedelai, Beras premium (85.",unsafe,1,KB_UNSAFE
"Diproduksi menggunakan peralatan yang juga memproses Krustase, Minyak Nabai (mengandung Antioksidan BHA), PERISA ALAMI PANGGANG, Pengatur Keasaman (Asam Laktat dan Asam Sitrat), MALTODEKSTRIN, Bumbu Pedas Tingkat 15 (Cabai bubuk, Minyak, Kultur (L.",safe,0,KB_SAFE
"Keping Jagung (2, Pengawet (Kalium Sorbat, Umbi kentang, singkong pilihan (31, 242%), 75130 (160a(ii), Pengemulsi (Nabati), minyak mustard.",safe,0,KB_SAFE
"telur, Dinatrium 5'-guanilat), bikarbonat, Bekatul, KUE BERAS: Beras, Bubuk Daging Ayam {2%}, Ubi kayu (64.",unsafe,1,KB_UNSAFE
"ketumbar, Bawang Bombay Bubuk 1, Bumbu Pedas Tingkat 15 (Cabai bubuk, minyak nabati non-hidrogenasi (kelapa sawit, Alga laut (47%), telur bubuk.",unsafe,1,KB_UNSAFE
"Protein Nabati Terhidrolisis), Pewarna makanan sintetik kuning FCF CI 15985, Daging Ayam (50%), Mengandung.",safe,0,KB_SAFE
"Kakao Bubuk 6, Nori kering (47%), lihat daftar bahan yang dicetak tebal, Komposisi Saus Vla: Gula, kasein, pengatur keasaman (asam sitrat, glukosa).",unsafe,1,KB_UNSAFE
"Antioksidan TBHQ [E319], Tepung Jaqung, 48%, susu bubuk.",unsafe,1,KB_UNSAFE
