nama produk,group_key,gold_label,label_id,audit_text_hash_v5,leakage_component_id,split
delfi chic choc,delfi chic choc,unsafe,1,7788d4c62fb696f7954a28f41f3814d8d0d2ac5b12f3fe3dd82f24e8fa6883a0,57,real_train
delfiorion custas,delfiorion custas,unsafe,1,51a47380255059a3531bea89c78f963fa60fe414f9bc86f90d813db67392d774,58,real_train
enaak,enaak,unsafe,1,c6c0746d11c2bbd7726d98dd870a7833168d2d847fbf260e1e43224941ac02c4,59,real_train
ferrero rocher,ferrero rocher,unsafe,1,f3a41311a77752e69a3e3e2edad0aae7ac29f2d45980d05c16671f0f4e48101c,60,real_train
fiesta spicy karage,fiesta spicy karage,unsafe,1,9261e67456a0eac2fd4f9b321afb61745bd58e03c50b3aa7e5ef45ba3a73c9ba,61,real_train
fiesta spicy wing,fiesta spicy wing,unsafe,1,7768f0c2a723bb8b4776ae7f15b9f029db895d7ff80686d4f82b2296f9794f6f,62,real_train
fitbar,fitbar,unsafe,1,c5ea3a76fe58735203b3421bd3a8f4ea750f4221cde5e079c1965ab1f6521f33,63,real_train
folabee,folabee,unsafe,1,01ace5114ecaa196dda200adcba3dc0928c4557a2a5a0a67f4f735251a111d42,64,real_train
french fries 2000,french fries 2000,unsafe,1,9dc6ce9ab1da6cf145ec3b4695eb729ea36885a2322e62658cf6a6ed00831010,65,real_train
fuzo kuaci,fuzo kuaci,unsafe,1,8e7d41e39b37c0f2aaead0622dba12d2ba0c6e3fef6126acfd9a7bb3eb5b4f2d,67,real_train
garuda rosta kacang panggang,garuda rosta kacang panggang,unsafe,1,41ba06143d23db7d9bbc91285da750ce9038b04c6a39245aba08fbdc86e00951,68,real_train
garuda rosta kacang pedas,garuda rosta kacang pedas,unsafe,1,3c20728a78862c2cb10e4d42f0e1d75f1b8495c14dcea0ab972e6c824ded7120,69,real_train
genji,genji,unsafe,1,dae21ec66a253bdc809d6cba479ac2976da48d064150d2a073a06a28064dc44c,70,real_train
gery salut matcha,gery salut matcha,unsafe,1,886085b1a3cd6920b091af56c0742a2e0c5572df39c49675d082c625902fb4f5,71,real_train
glico stick coklat,glico stick coklat,unsafe,1,05d97c7148fe46d7e24f4a53d812251462e024ba403be0aa2b16c7fe65600504,72,real_train
golden farm potato nuggets,golden farm potato nuggets,unsafe,1,17a831428f9ec56491db6ffa3994a5da19628cd8bb43cc55c95d5b9033a52eeb,73,real_train
