text,label_id,label
"gandum, Pengganti Lemak Kakao, DEKSTROSA, Antioksidan Natrium Eritorbat, B3 (Niasin).",1,unsafe
"Air murni, Saus Cabai (4, PERISA SINTETIK VANILA, 25%), 23%), Anti Kempal Siiikon Dioksida Halus, Ekstrak Anato CI, GULA PASIR.",0,safe
"Serealia 58% (Tepung Gandum Utuh
35%, Tepung Gandum 15%, Semolina Jagung, Tepung Beras), Gula, Ekstrak Malt (Barli), Kakao Bubuk 2,2%, 1 Mineral, Susu Skim Bubuk, Minyak
Nabati, Lemak Kakao 0,3%, Garam, Perisa Alami, Pengemulsi Lesitin Kedelai, Premiks Vitamin dan Mineral, Antioksidan Tokoferol Campuran Pekat. Mengandung alergen, lihat daftar
bahan yang dicetak tebal.
Dapat mengandung tree nuts.",1,unsafe
"Kalsium Karbonat, Lemak Nabati (mengandung Antioksidan Tokoferol Campuran Pekat), Bawang Bombay Bubuk 1, (mengandung Gula, Penguat rasa Dinatrium 5'ribonukleotida) Pewama Alami Beta Karoten (sayuran) CI No, dinatrium guanilat dan dinatrium inosinat).",0,safe
"Tepung dari umbi porang (48%), bubuk beras, air minum",0,safe
"09%)), pengatur keasaman (asam asetat dan laktat), pewarna sintetik Tartrazin CI No, pengawet alami kalium sorbat, TBHQ), terigu, garam gurih (5%) (mengandung penyedap MSG.",1,unsafe
"Makaroni, Racikan Bumbu Super Pedas Level 15 (Cabai bubuk, bawang merah goreng, garam, gula kastor, MSG, minyak nabati, bubuk bawang putih, bubuk bawang bombay, dinatrium 5'-inosinat, dinatrium 5'-guanilat, ekstrak khamir), Minyak tumbuhan. Peringatan: Memuat alergen, perhatikan bahan yang dicetak tebal. Diproduksi menggunakan alat yang juga mengolah: Susu, seledri, kacang kedelai, ikan, dan krustasea.",0,safe
"minyak sawit olein, umbi singkong (31, kasein, air murni.",1,unsafe
"perisa buatan, Kakao bubuk (6, Pati Jagung], Bebas dari pemanis buatan, Pengembang (Natrium Hidrogen Karbonat, beras berkualitas, Komposisi Saus Vla (25%): Gula, bubuk coklat pekat.",0,safe
"bubuk lada, sarden, bawang merah cincang, nata de coco segar (7.",1,unsafe
"jamur, Blackurrant, Glukosa, isomalto oligosakarida, Penguat Rasa Mononatrium Glutamat E621.",0,safe
"Pemanis Alami Steviol, penguat rasa mononatrium glutamat), Pati Termodifikasi, Kelapa Kering, minyak sayur (dengan TBHQ), Sari Buah Stroberi (1%), trinatrium sitrat).",0,safe
"dinatrium 5'-guanilat, gluten, 5%)), Jengkol, Oat, Pewarna Alami Karamel kelas, REMAHAN BISKUIT (MENGANDUNG PERISA SINTETIK (COKELAT).",1,unsafe
"79% (mengandung pewarna makanan sintetik Kuning FCF (CI 15985)), Pisang Bubuk (0, (mononatrium glutamat, Perisa Vanila, udang.",1,unsafe
"Teh hijau pilihan, beras goreng",0,safe
"Gula halus, sirup glukosa, pengatur keasaman (asam sitrat), ekstrak asam jawa (0,80%), garam laut, pewarna alami karamel IV, aroma buatan.",0,safe
"Antioksidan Askorbil Palmitat dan Tokoferol), var, Minyak Nabati Terhidrogenasi, teri, MINYAK NABATI (MENGANDUNG, PGPR).",1,unsafe
"sorbat, Pati tapioka, Sirup Tinggi Fruktosa, Kakao Bubuk 4%, ekstrak jeruk mandarin (4.",0,safe
"Potongan kentang, minyak kelapa sawit murni (dengan tokoferol sebagai antioksidan), dekstrosa",0,safe
