nama_produk,text,label,gold_label,match_key,group_key,label_id,kb_label,kb_binary_label,kb_confidence,kb_allergen_categories,kb_matched_terms,kb_evidence_methods,_product_key_v5,audit_text_norm_v5,audit_text_hash_v5,leakage_component_id,prob_unsafe,predicted_label,gold_binary,kb_binary,model_binary,error_triage
alba cheese,"susu, garam, rennet dari yeast kluyveromyces lactis kultur starter (streptococcus thermophilus, lactobacillus delbrueckki subsp bulgaricus. Mengandung alergen",unsafe,unsafe,alba cheese,alba cheese,1,unsafe,1,1.0,Dairy,susu,exact/synonym,alba cheese,"susu, garam, rennet dari yeast kluyveromyces lactis kultur starter (streptococcus thermophilus, lactobacillus delbrueckki subsp bulgaricus. mengandung alergen",6bb71b7ffb4237c0212eccdb696f9df5ffda6bdba4af0627e49e0b8551c951de,0,0.5458347201347351,unsafe,1,1,1,GOLD_CORRECT_KB_CORRECT_MODEL_CORRECT
almond cookies,"Tepung Terigu, Gula Kristal, Air, Kacang Almond (8%), Mentega Tawar,
Mentega, Garam, Susu Evaporasi.",unsafe,unsafe,almond cookies,almond cookies,1,unsafe,1,1.0,Dairy;Gluten;Tree Nut,tepung terigu;mentega;kacang almond,exact/synonym;exact/synonym;exact/synonym,almond cookies,"tepung terigu, gula kristal, air, kacang almond (8%), mentega tawar, mentega, garam, susu evaporasi.",3e16ca52d435be9694da0d4ee1e56f46fef76cd5dd750d9b182cc9df8f5acada,1,0.5462551116943359,unsafe,1,1,1,GOLD_CORRECT_KB_CORRECT_MODEL_CORRECT
anchor cheese,"Susu (75%) dan Krim
Pasteurisasi, Garam, Penstabil (Gom
Guar, Gom Kacang Lokus) dan Kultur
Bakteri Starter. Mengandung
alergen: susu. Simpan pada suhu
2-4? dan tidak beku.",unsafe,unsafe,anchor cheese,anchor cheese,1,unsafe,1,1.0,Dairy,susu,exact/synonym,anchor cheese,"susu (75%) dan krim pasteurisasi, garam, penstabil (gom guar, gom kacang lokus) dan kultur bakteri starter. mengandung alergen: susu. simpan pada suhu 2-4 dan tidak beku.",dbbd7ba41225d9b1d2f212c60526a3fcc5deeaf937ba303d5395751a9b605753,2,0.5452660918235779,unsafe,1,1,1,GOLD_CORRECT_KB_CORRECT_MODEL_CORRECT
astor chocolate,"Gula, Tepung Terigu, Minyak Nabati (Minyak Kelapa dan Minyak Sawit (mengandung Antioksidan BHA)), Susu Bubuk, Kakao Bubuk, Tepung Tapioka, Kacang Mede, Maltodekstrin, Pengemulsi (Lesitin Kedelai), Pewarna Alami Karamel IV (E150d), Garam, Perisai Sintetik, Pengembang. Mengandung alergen lihat daftar yang dicetak tebal.",unsafe,unsafe,astor chocolate,astor chocolate,1,unsafe,1,1.0,Dairy;Gluten;Soy;Tree Nut,tepung terigu;susu bubuk;lesitin kedelai;kacang mede,exact/synonym;exact/synonym;exact/synonym;exact/synonym,astor chocolate,"gula, tepung terigu, minyak nabati (minyak kelapa dan minyak sawit (mengandung antioksidan bha)), susu bubuk, kakao bubuk, tepung tapioka, kacang mede, maltodekstrin, pengemulsi (lesitin kedelai), pewarna alami karamel iv (e150d), garam, perisai sintetik, pengembang. mengandung alergen lihat daftar yang dicetak tebal.",72a4fff0b3cceec91b010e510b564369840ebd0ee952e79521ff31cd856ff621,3,0.5456051826477051,unsafe,1,1,1,GOLD_CORRECT_KB_CORRECT_MODEL_CORRECT
bakso ikan bernardi,"Daging Ikan (69%), AIR, Pati Tapiola Termodifikasi, Garam, Pengemulsi, Fosfat, Pengawet Kalium Sorbat, Antioksidan Natrium Ebitorbat. Mengandung Alergen, Lihat daftar bahan yang dicetak tebal. Diproduksi menggunakan peralatan yang juga memproses kedelai, crustacea, wijen, telur, susu & gandum.",unsafe,unsafe,bakso ikan bernardi,bakso ikan bernardi,1,unsafe,1,1.0,Crustacean;Dairy;Egg;Fish;Gluten;Sesame;Soy,gandum;susu;telur;kedelai;ikan;crustacea;wijen,exact/synonym;exact/synonym;exact/synonym;exact/synonym;exact/synonym;exact/synonym;exact/synonym,bakso ikan bernardi,"daging ikan (69%), air, pati tapiola termodifikasi, garam, pengemulsi, fosfat, pengawet kalium sorbat, antioksidan natrium ebitorbat. mengandung alergen, lihat daftar bahan yang dicetak tebal. diproduksi menggunakan peralatan yang juga memproses kedelai, crustacea, wijen, telur, susu gandum.",75427aeda2a30bc2733b1180f6797c0794d850f7eb8f5fe99792da398d4e3671,4,0.5472413301467896,unsafe,1,1,1,GOLD_CORRECT_KB_CORRECT_MODEL_CORRECT
basreng super,"Ikan Segar, Tapioka, Garam, Bawang Merah, Bawang Putih",safe,safe,basreng super,basreng super,0,unsafe,1,1.0,Fish,ikan,exact/synonym,basreng super,"ikan segar, tapioka, garam, bawang merah, bawang putih",d318ed31ed34981bd74e604aae268a3c1d973e68a507f8605a41f667f83418da,6,0.5515846014022827,unsafe,0,1,1,KB_FALSE_POSITIVE_MODEL_FALSE_POSITIVE
beng beng maxx,"Glukosa, Lemak Nabati (mengandung Antioksidan BHA), Gula, Tepung Terigu, Susu Bubuk, Maltodekstrin,
Krispi Beras, Kakao Massa, Lemak Kakao, Lemak Susu, Pemanis Alami Sorbitol, Krimer Nabati, Pengemulsi (Lesitin Kedelai), Garam, Pengembang, Pensa Sintetik. Mengandung alergen, Iihat pada daftar bahan yang dicetak tebal. Konsumsi berlebihan dapat mempunyai efek laksatif.",unsafe,unsafe,beng beng maxx,beng beng maxx,1,unsafe,1,1.0,Dairy;Gluten;Soy,tepung terigu;susu bubuk;lesitin kedelai,exact/synonym;exact/synonym;exact/synonym,beng beng maxx,"glukosa, lemak nabati (mengandung antioksidan bha), gula, tepung terigu, susu bubuk, maltodekstrin, krispi beras, kakao massa, lemak kakao, lemak susu, pemanis alami sorbitol, krimer nabati, pengemulsi (lesitin kedelai), garam, pengembang, pensa sintetik. mengandung alergen, iihat pada daftar bahan yang dicetak tebal. konsumsi berlebihan dapat mempunyai efek laksatif.",39e8b69a1733363bc1e908cfdfdbb6cac4ddbf14cc3d67958c0ee81a36099200,7,0.5448870658874512,unsafe,1,1,1,GOLD_CORRECT_KB_CORRECT_MODEL_CORRECT
bihunku rasa ayam bawang,"Bihun : Pati Jagung, Beras, Pati Tapioka, Pengemulsi Nabati, Pengental Nabati, Penstabil Fosfat. Bumbu : Garam, Gula, Bumbu Ayam Bawang (Mengandung Penguat Rasa Mononatrium Glutamat, Dinatrium 5-ribonukleotida, Hidrolisat
Protein Nabati, Antioksidan Tokoferol, Askorbil Palmitat, dan Asam Askorbat), Penguat Rasa (Mononatrium Glutamat. Dinatrium Inosinat dan Guanilat), Ayam Bubuk, Bawang Merah Bubuk, Bawang Putih Bubuk. Daun Bawang Kering, Lada Bubuk, Daun Seledri Kering. Minyak Bumbu : Minyak Nabati, Bumbu Bawang, Antioksidan TBHQ.
Cabe Bubuk",unsafe,unsafe,bihunku rasa ayam bawang,bihunku rasa ayam bawang,1,safe,0,0.0,,,,bihunku rasa ayam bawang,"bihun : pati jagung, beras, pati tapioka, pengemulsi nabati, pengental nabati, penstabil fosfat. bumbu : garam, gula, bumbu ayam bawang (mengandung penguat rasa mononatrium glutamat, dinatrium 5-ribonukleotida, hidrolisat protein nabati, antioksidan tokoferol, askorbil palmitat, dan asam askorbat), penguat rasa (mononatrium glutamat. dinatrium inosinat dan guanilat), ayam bubuk, bawang merah bubuk, bawang putih bubuk. daun bawang kering, lada bubuk, daun seledri kering. minyak bumbu : minyak nabati, bumbu bawang, antioksidan tbhq. cabe bubuk",4882ffc3186137291768e9344e4bad439a2a540662f58749eb1cc2ece1d311d0,8,0.5473450422286987,unsafe,1,0,1,KB_FALSE_NEGATIVE_MODEL_CORRECT
bihunku rasa soto,"Bihun : Pati Jagung, Beras, Pati Tapioka, Pengemulsi Nabati, Pengental Nabati, Penstabil Fosfat.
Bumbu : Garam, Gula, Bumbu Rasa Soto (Mengandung Hidrolisat Protein Nabati, Antioksidan Tokoferol), Penguat Rasa (Mononatrium Glutamat, Dinatrium Inosinat dan Guanilat), Ayam Bubuk. Bawang Putih Bubuk. Bawang Merah Bubuk, Daun Bawang Kering, Lada Bubuk, Daun Seledri Kering.
Minyak Bumbu : Minyak Nabati, Bumbu, Antioksidan TBHQ.
Cabe Bubuk",safe,safe,bihunku rasa soto,bihunku rasa soto,0,safe,0,0.0,,,,bihunku rasa soto,"bihun : pati jagung, beras, pati tapioka, pengemulsi nabati, pengental nabati, penstabil fosfat. bumbu : garam, gula, bumbu rasa soto (mengandung hidrolisat protein nabati, antioksidan tokoferol), penguat rasa (mononatrium glutamat, dinatrium inosinat dan guanilat), ayam bubuk. bawang putih bubuk. bawang merah bubuk, daun bawang kering, lada bubuk, daun seledri kering. minyak bumbu : minyak nabati, bumbu, antioksidan tbhq. cabe bubuk",bef2eb0bc18847781b7be3feb57c3ff5eba18759493f8728c525ebe17a06dca8,9,0.5473139882087708,unsafe,0,0,1,KB_CORRECT_MODEL_FALSE_POSITIVE
biokul greek yoghurt,"Air, Konsentrat Susu, Buttermilk Bubuk,  Krim Susu. Pati Modifikasi, Penstabil (Nabati, Gelatin Sapi), Kultur Yogurt (S. thermophilus, L. bulgaricus,
L. acidophilus, Bifidobacterium). ",unsafe,unsafe,biokul greek yoghurt,biokul greek yoghurt,1,unsafe,1,1.0,Dairy,yogurt,exact/synonym,biokul greek yoghurt,"air, konsentrat susu, buttermilk bubuk, krim susu. pati modifikasi, penstabil (nabati, gelatin sapi), kultur yogurt (s. thermophilus, l. bulgaricus, l. acidophilus, bifidobacterium).",98d07e59523ff8832a311668a1653855760152da11989405da21069b38076871,10,0.547112762928009,unsafe,1,1,1,GOLD_CORRECT_KB_CORRECT_MODEL_CORRECT
